"","x"
"1",12.247694320221
"2",12.109010932687
"3",12.3171666930358
"4",11.8493977015914
"5",12.4292161968444
"6",11.870599909242
"7",12.6346030265693
"8",12.2060726455302
"9",11.7745202026587
"10",11.6784399034478
"11",11.7714361601217
"12",12.7512996960135
"13",11.8775685785581
"14",12.5407575715773
"15",11.9640010843304
"16",11.7905572015685
"17",11.9117015849276
"18",11.4075649493124
"19",11.9766594812024
"20",11.8422292121128
"21",12.6925031124614
"22",11.8451027773086
"23",12.3458345879053
"24",11.7745202026587
"25",11.9447078813958
"26",12.4541039123522
"27",11.8115474774603
"28",12.6313403809345
"29",12.2428866186529
"30",11.1345890242503
"31",10.5966347330961
"32",11.9140478236443
"33",12.1001564199386
"34",12.0167264737993
"35",12.5335762121686
"36",12.6410965558799
"37",11.8844890214027
"38",11.9381932003746
"39",11.5991031612113
"40",11.3144745262464
"41",11.982929094216
"42",12.0435537160324
"43",11.8775685785581
"44",11.7772109596156
"45",11.8565151693603
"46",12.6757637259376
"47",12.3870850123755
"48",12.4280154762679
"49",11.6351430976945
"50",11.7519423654407
"51",12.083905011556
"52",11.6483301019764
"53",11.6082356447746
"54",12.8609986132699
"55",11.7752897294377
"56",12.1034860567551
"57",12.0581525154536
"58",12.1884177102915
"59",12.9917534274931
"60",11.7352686961137
"61",11.9703503120091
"62",11.5228757958234
"63",12.2184951655287
"64",11.8493977015914
"65",12.2991075114974
"66",12.6666570528594
"67",12.1007121298723
"68",12.3282902782544
"69",11.289781913656
"70",12.3238556811866
"71",12.4049235042753
"72",11.7714361601217
"73",12.1281111040605
"74",11.8837991283088
"75",11.5843154610569
"76",11.418614785499
"77",11.8185702377962
"78",11.7519423654407
"79",11.8240798936072
"80",11.6082356447746
"81",12.173032791452
"82",11.9414558460094
"83",12.4090134895269
"84",11.7479975871497
"85",12.0346910287746
"86",12.4684369099977
"87",12.0668105781967
"88",12.0106658491876
"89",11.3504065354725
"90",11.7248058240057
"91",11.6073261403917
"92",11.4988265405907
"93",12.0045682693194
"94",11.8048485316793
"95",12.2295450017153
"96",12.1281111040605
"97",12.273731294004
"98",11.4589971229447
"99",11.3265958867787
"100",11.7671800113095
"101",12.2307652581205
"102",12.0895388292742
"103",11.6865762053166
"104",12.2005574648421
"105",12.0406082058026
"106",12.4292161968444
"107",11.5129254649702
"108",11.6526874073454
"109",11.6526874073454
"110",12.1547793511426
"111",11.8270060112765
"112",12.1007121298723
"113",12.8583197035179
"114",12.2876526325226
"115",12.4665119815881
"116",12.0782392740203
"117",11.8422292121128
"118",11.9511803959014
"119",12.6760762747759
"120",12.0075607293375
"121",12.1007121298723
"122",11.5129254649702
"123",11.8204101647182
"124",11.944058319827
"125",12.106252310248
"126",11.3445068133453
"127",11.7597855429018
"128",11.3736633976367
"129",11.9511803959014
"130",11.9183905730784
"131",12.3282902782544
"132",12.4049235042753
"133",11.9233781145894
"134",12.3013828253345
"135",12.1007121298723
"136",12.0668105781967
"137",11.870599909242
"138",12.0494188354848
"139",12.3458345879053
"140",12.3523351525084
"141",11.6526874073454
"142",12.4684369099977
"143",12.0197430673387
"144",12.2258752728264
"145",11.7360690162844
"146",11.7752897294377
"147",11.5617156291397
"148",12.3126823805884
"149",11.8565151693603
"150",11.6526874073454
"151",11.7117763237154
"152",12.8277291949399
"153",12.1547793511426
"154",12.3673407931263
"155",11.7360690162844
"156",11.2772031314492
"157",11.6036798282387
"158",12.5043236693312
"159",12.4486265903642
"160",12.6760762747759
"161",11.9984332807519
"162",12.9299914847569
"163",12.3013828253345
"164",11.5444241320296
"165",11.9316357998284
"166",11.7558716435806
"167",12.1547793511426
"168",12.6934986204678
"169",12.1199699464768
"170",12.3371009079366
"171",11.7636841833174
"172",12.2783933071098
"173",12.3842188309136
"174",12.0015054797889
"175",12.1226910365911
"176",12.4008167223227
"177",12.2596134124582
"178",12.0581525154536
"179",13.1260306447518
"180",11.5129254649702
"181",12.083905011556
"182",12.2065725205718
"183",11.6952470217642
"184",12.2060726455302
"185",11.7519423654407
"186",13.0710700830168
"187",12.0610468734799
"188",11.8130300574206
"189",11.9403933925547
